time,count
00:00,81
00:15,88
00:30,110
00:45,131
01:00,82
01:15,85
01:30,94
01:45,134
02:00,75
02:15,87
02:30,99
02:45,135
03:00,76
03:15,80
03:30,97
03:45,124
04:00,92
04:15,87
04:30,88
04:45,101
05:00,117
05:15,111
05:30,73
05:45,111
06:00,94
06:15,69
06:30,54
06:45,62
07:00,64
07:15,63
07:30,60
07:45,70
08:00,64
08:15,98
08:30,128
08:45,139
09:00,82
09:15,109
09:30,150
09:45,170
10:00,98
10:15,131
10:30,169
10:45,195
11:00,121
11:15,140
11:30,157
11:45,151
14:00,148
14:15,136
14:30,122
14:45,122
15:00,149
15:15,125
15:30,94
15:45,97
16:00,142
16:15,87
16:30,67
16:45,66
19:00,81
19:15,75
19:30,66
19:45,70
20:00,58
20:15,58
20:30,74
20:45,86
21:00,51
21:15,46
21:30,75
21:45,102
22:00,69
22:15,51
22:30,70
22:45,110
23:00,103
23:15,82
23:30,104
23:45,162
