time,count
00:00,81
00:15,85
00:30,110
00:45,131
01:00,82
01:15,85
01:30,93
01:45,134
02:00,75
02:15,86
02:30,99
02:45,134
03:00,76
03:15,80
03:30,97
03:45,124
04:00,92
04:15,87
04:30,88
04:45,101
05:00,117
05:15,110
05:30,73
05:45,111
06:00,94
06:15,69
06:30,53
06:45,61
07:00,64
07:15,63
07:30,60
07:45,70
08:00,66
08:15,100
08:30,131
08:45,142
09:00,82
09:15,109
09:30,151
09:45,172
10:00,98
10:15,131
10:30,169
10:45,196
11:00,122
11:15,142
11:30,159
11:45,152
14:00,149
14:15,137
14:30,124
14:45,122
15:00,150
15:15,126
15:30,96
15:45,98
16:00,143
16:15,87
16:30,68
16:45,66
19:00,81
19:15,77
19:30,66
19:45,69
20:00,56
20:15,57
20:30,71
20:45,84
21:00,50
21:15,45
21:30,75
21:45,101
22:00,68
22:15,50
22:30,70
22:45,110
23:00,102
23:15,82
23:30,103
23:45,161
