time,count
00:00,156
00:15,159
00:30,192
00:45,206
01:00,215
01:15,218
01:30,239
01:45,250
02:00,237
02:15,239
02:30,260
02:45,270
03:00,171
03:15,172
03:30,194
03:45,217
04:00,72
04:15,74
04:30,93
04:45,127
05:00,30
05:15,30
05:30,39
05:45,79
06:00,7
06:15,7
06:30,12
06:45,32
07:00,8
07:15,8
07:30,2
07:45,13
08:00,26
08:15,27
08:30,8
08:45,9
09:00,70
09:15,72
09:30,129
09:45,120
10:00,203
10:15,207
10:30,238
10:45,246
11:00,281
11:15,285
11:30,292
11:45,304
12:00,285
12:15,285
12:30,290
12:45,313
13:00,232
13:15,235
13:30,256
13:45,290
14:00,81
14:15,87
14:30,120
14:45,228
15:00,17
15:15,26
15:30,31
15:45,147
16:00,5
16:15,4
16:30,5
16:45,61
17:15,2
17:30,1
17:45,8
18:45,1
21:00,9
21:15,9
21:30,15
21:45,17
22:00,34
22:15,35
22:30,49
22:45,51
23:00,69
23:15,70
23:30,108
23:45,112
