time,count
00:00,78
00:15,88
00:30,109
00:45,135
01:00,84
01:15,90
01:30,98
01:45,135
02:00,79
02:15,89
02:30,98
02:45,130
03:00,76
03:15,74
03:30,95
03:45,128
04:00,95
04:15,88
04:30,93
04:45,104
05:00,117
05:15,108
05:30,76
05:45,108
06:00,95
06:15,66
06:30,55
06:45,60
07:00,66
07:15,62
07:30,58
07:45,66
08:00,69
08:15,102
08:30,120
08:45,125
09:00,82
09:15,104
09:30,141
09:45,161
10:00,95
10:15,119
10:30,164
10:45,190
11:00,112
11:15,133
11:30,152
11:45,136
12:00,106
12:15,117
12:30,132
12:45,149
13:00,119
13:15,124
13:30,118
13:45,147
14:00,145
14:15,131
14:30,119
14:45,120
15:00,144
15:15,121
15:30,84
15:45,96
16:00,141
16:15,84
16:30,62
16:45,66
17:00,99
17:15,60
17:30,47
17:45,51
18:00,83
18:15,75
18:30,70
18:45,70
19:00,84
19:15,78
19:30,67
19:45,73
20:00,58
20:15,56
20:30,81
20:45,90
21:00,55
21:15,49
21:30,73
21:45,102
22:00,71
22:15,50
22:30,71
22:45,111
23:00,102
23:15,87
23:30,110
23:45,160
