time,count
00:00,156
00:15,159
00:30,193
00:45,205
01:00,215
01:15,218
01:30,239
01:45,250
02:00,237
02:15,240
02:30,260
02:45,270
03:00,171
03:15,172
03:30,194
03:45,217
04:00,72
04:15,73
04:30,94
04:45,127
05:00,30
05:15,31
05:30,38
05:45,79
06:00,7
06:15,7
06:30,11
06:45,33
07:00,8
07:15,8
07:30,2
07:45,13
08:00,27
08:15,25
08:30,10
08:45,8
09:00,70
09:15,72
09:30,132
09:45,121
10:00,206
10:15,212
10:30,236
10:45,245
11:00,281
11:15,285
11:30,292
11:45,304
12:00,284
12:15,284
12:30,291
12:45,313
13:00,232
13:15,232
13:30,252
13:45,293
14:00,89
14:15,87
14:30,116
14:45,225
15:00,27
15:15,22
15:30,26
15:45,148
16:00,2
16:15,1
16:30,3
16:45,61
17:30,1
17:45,7
18:45,1
21:00,9
21:15,9
21:30,15
21:45,17
22:00,34
22:15,36
22:30,48
22:45,51
23:00,69
23:15,69
23:30,110
23:45,112
