time,count
00:00,78
00:15,89
00:30,108
00:45,135
01:00,84
01:15,88
01:30,97
01:45,138
02:00,77
02:15,92
02:30,96
02:45,129
03:00,76
03:15,76
03:30,97
03:45,127
04:00,93
04:15,88
04:30,93
04:45,104
05:00,117
05:15,107
05:30,76
05:45,107
06:00,95
06:15,64
06:30,56
06:45,61
07:00,63
07:15,59
07:30,58
07:45,70
08:00,66
08:15,101
08:30,120
08:45,124
09:00,83
09:15,105
09:30,143
09:45,160
10:00,93
10:15,119
10:30,160
10:45,189
11:00,112
11:15,135
11:30,152
11:45,137
12:00,103
12:15,114
12:30,130
12:45,149
13:00,115
13:15,122
13:30,121
13:45,146
14:00,145
14:15,127
14:30,118
14:45,118
15:00,143
15:15,120
15:30,83
15:45,96
16:00,137
16:15,85
16:30,59
16:45,65
17:00,99
17:15,57
17:30,46
17:45,47
18:00,80
18:15,74
18:30,68
18:45,62
19:00,81
19:15,77
19:30,66
19:45,72
20:00,57
20:15,59
20:30,79
20:45,90
21:00,54
21:15,48
21:30,78
21:45,104
22:00,73
22:15,49
22:30,71
22:45,112
23:00,100
23:15,84
23:30,110
23:45,157
