time,count
00:00,81
00:15,87
00:30,108
00:45,131
01:00,80
01:15,83
01:30,95
01:45,137
02:00,73
02:15,88
02:30,98
02:45,134
03:00,77
03:15,77
03:30,98
03:45,123
04:00,91
04:15,86
04:30,87
04:45,104
05:00,115
05:15,110
05:30,75
05:45,111
06:00,94
06:15,68
06:30,54
06:45,61
07:00,65
07:15,63
07:30,60
07:45,71
08:00,65
08:15,98
08:30,129
08:45,138
09:00,84
09:15,108
09:30,151
09:45,173
10:00,98
10:15,134
10:30,168
10:45,195
11:00,121
11:15,141
11:30,160
11:45,151
14:00,149
14:15,134
14:30,120
14:45,123
15:00,149
15:15,126
15:30,94
15:45,96
16:00,142
16:15,86
16:30,67
16:45,63
19:00,81
19:15,77
19:30,65
19:45,72
20:00,57
20:15,61
20:30,75
20:45,87
21:00,50
21:15,45
21:30,74
21:45,103
22:00,67
22:15,51
22:30,68
22:45,109
23:00,102
23:15,83
23:30,105
23:45,160
