time,count
00:00,78
00:15,86
00:30,104
00:45,131
01:00,83
01:15,86
01:30,96
01:45,133
02:00,77
02:15,86
02:30,93
02:45,128
03:00,75
03:15,72
03:30,94
03:45,126
04:00,91
04:15,86
04:30,90
04:45,101
05:00,114
05:15,104
05:30,73
05:45,105
06:00,94
06:15,66
06:30,52
06:45,56
07:00,61
07:15,59
07:30,54
07:45,63
08:00,66
08:15,98
08:30,118
08:45,127
09:00,81
09:15,102
09:30,141
09:45,161
10:00,93
10:15,121
10:30,162
10:45,190
11:00,112
11:15,133
11:30,153
11:45,139
12:00,104
12:15,120
12:30,134
12:45,153
13:00,115
13:15,125
13:30,120
13:45,146
14:00,144
14:15,129
14:30,119
14:45,117
15:00,143
15:15,120
15:30,84
15:45,99
16:00,138
16:15,82
16:30,60
16:45,65
17:00,94
17:15,56
17:30,47
17:45,47
18:00,76
18:15,73
18:30,65
18:45,60
19:00,78
19:15,69
19:30,63
19:45,69
20:00,55
20:15,54
20:30,76
20:45,90
21:00,52
21:15,46
21:30,72
21:45,100
22:00,70
22:15,47
22:30,69
22:45,110
23:00,98
23:15,81
23:30,108
23:45,158
