time,count
00:00,156
00:15,158
00:30,193
00:45,206
01:00,215
01:15,218
01:30,239
01:45,250
02:00,237
02:15,240
02:30,260
02:45,270
03:00,171
03:15,172
03:30,194
03:45,217
04:00,72
04:15,73
04:30,93
04:45,128
05:00,30
05:15,30
05:30,39
05:45,80
06:00,7
06:15,7
06:30,11
06:45,33
07:00,8
07:15,8
07:30,2
07:45,14
08:00,26
08:15,27
08:30,9
08:45,9
09:00,70
09:15,73
09:30,131
09:45,120
10:00,205
10:15,209
10:30,239
10:45,247
11:00,285
11:15,286
11:30,295
11:45,305
12:00,288
12:15,287
12:30,291
12:45,314
13:00,233
13:15,235
13:30,258
13:45,298
14:00,90
14:15,93
14:30,128
14:45,240
15:00,27
15:15,35
15:30,37
15:45,155
16:00,5
16:15,7
16:30,4
16:45,64
17:00,1
17:15,2
17:30,1
17:45,8
18:45,1
21:00,9
21:15,9
21:30,15
21:45,17
22:00,34
22:15,35
22:30,49
22:45,51
23:00,69
23:15,69
23:30,110
23:45,112
