time,count
00:00,82
00:15,86
00:30,111
00:45,133
01:00,86
01:15,85
01:30,94
01:45,134
02:00,76
02:15,88
02:30,104
02:45,134
03:00,77
03:15,80
03:30,99
03:45,125
04:00,93
04:15,88
04:30,90
04:45,105
05:00,116
05:15,110
05:30,74
05:45,112
06:00,95
06:15,69
06:30,52
06:45,61
07:00,62
07:15,60
07:30,60
07:45,69
08:00,67
08:15,96
08:30,127
08:45,141
09:00,83
09:15,109
09:30,150
09:45,172
10:00,102
10:15,132
10:30,167
10:45,195
11:00,122
11:15,142
11:30,158
11:45,150
14:00,150
14:15,135
14:30,120
14:45,124
15:00,150
15:15,125
15:30,94
15:45,96
16:00,141
16:15,84
16:30,68
16:45,66
19:00,80
19:15,71
19:30,68
19:45,68
20:00,56
20:15,56
20:30,71
20:45,88
21:00,50
21:15,46
21:30,75
21:45,103
22:00,70
22:15,52
22:30,70
22:45,111
23:00,101
23:15,88
23:30,107
23:45,160
