time,count
00:00,82
00:15,85
00:30,109
00:45,130
01:00,81
01:15,83
01:30,94
01:45,135
02:00,74
02:15,87
02:30,98
02:45,133
03:00,77
03:15,79
03:30,95
03:45,125
04:00,91
04:15,86
04:30,89
04:45,103
05:00,119
05:15,108
05:30,76
05:45,109
06:00,94
06:15,71
06:30,52
06:45,60
07:00,67
07:15,62
07:30,64
07:45,70
08:00,69
08:15,101
08:30,131
08:45,139
09:00,82
09:15,113
09:30,152
09:45,176
10:00,100
10:15,132
10:30,167
10:45,196
11:00,122
11:15,142
11:30,161
11:45,155
14:00,149
14:15,137
14:30,123
14:45,124
15:00,150
15:15,127
15:30,99
15:45,98
16:00,147
16:15,90
16:30,69
16:45,66
19:00,83
19:15,80
19:30,67
19:45,70
20:00,60
20:15,60
20:30,72
20:45,83
21:00,51
21:15,47
21:30,72
21:45,102
22:00,66
22:15,49
22:30,67
22:45,111
23:00,102
23:15,84
23:30,104
23:45,159
