time,count
00:00,82
00:15,86
00:30,109
00:45,130
01:00,81
01:15,83
01:30,95
01:45,136
02:00,74
02:15,87
02:30,99
02:45,133
03:00,78
03:15,79
03:30,95
03:45,125
04:00,91
04:15,86
04:30,90
04:45,103
05:00,119
05:15,108
05:30,76
05:45,109
06:00,94
06:15,71
06:30,52
06:45,61
07:00,67
07:15,62
07:30,64
07:45,69
08:00,67
08:15,101
08:30,131
08:45,139
09:00,82
09:15,113
09:30,151
09:45,175
10:00,100
10:15,132
10:30,167
10:45,195
11:00,122
11:15,140
11:30,160
11:45,154
14:00,149
14:15,137
14:30,121
14:45,124
15:00,149
15:15,126
15:30,96
15:45,96
16:00,145
16:15,90
16:30,68
16:45,66
19:00,82
19:15,79
19:30,66
19:45,69
20:00,60
20:15,63
20:30,76
20:45,85
21:00,52
21:15,47
21:30,72
21:45,102
22:00,66
22:15,51
22:30,67
22:45,111
23:00,102
23:15,87
23:30,105
23:45,159
