time,count
00:00,78
00:15,86
00:30,106
00:45,131
01:00,84
01:15,86
01:30,97
01:45,136
02:00,77
02:15,86
02:30,95
02:45,130
03:00,77
03:15,73
03:30,94
03:45,126
04:00,91
04:15,86
04:30,91
04:45,101
05:00,114
05:15,105
05:30,73
05:45,107
06:00,94
06:15,71
06:30,53
06:45,57
07:00,66
07:15,62
07:30,59
07:45,65
08:00,70
08:15,102
08:30,119
08:45,128
09:00,82
09:15,102
09:30,141
09:45,161
10:00,93
10:15,122
10:30,163
10:45,191
11:00,112
11:15,133
11:30,153
11:45,139
12:00,104
12:15,120
12:30,134
12:45,153
13:00,115
13:15,125
13:30,120
13:45,146
14:00,144
14:15,129
14:30,119
14:45,117
15:00,143
15:15,120
15:30,85
15:45,100
16:00,142
16:15,83
16:30,62
16:45,67
17:00,102
17:15,59
17:30,50
17:45,52
18:00,84
18:15,77
18:30,70
18:45,67
19:00,81
19:15,78
19:30,69
19:45,71
20:00,56
20:15,56
20:30,78
20:45,90
21:00,52
21:15,46
21:30,72
21:45,100
22:00,70
22:15,47
22:30,69
22:45,111
23:00,98
23:15,83
23:30,108
23:45,158
