timeinterval,price_shortage,price_surplus,regulation_state,jaar
2015-01-02 05:00:00,32.99,-150.78,2,2015
2015-01-02 05:15:00,-150.78,-150.78,-1,2015
2015-01-02 05:30:00,18.78,18.78,-1,2015
2015-01-02 05:45:00,20.78,20.78,-1,2015
2015-01-02 06:00:00,-150.78,-150.78,-1,2015
2015-01-02 06:15:00,-150.78,-150.78,-1,2015
2015-01-02 06:30:00,-94.2,-94.2,-1,2015
2015-01-02 06:45:00,-150.78,-150.78,-1,2015
2015-01-02 07:00:00,-150.78,-150.78,-1,2015
2015-01-02 07:15:00,29.95,29.95,-1,2015
2015-01-02 07:30:00,37.06,29.95,2,2015
2015-01-02 07:45:00,37.06,37.06,1,2015
2015-01-02 08:00:00,-53.72,-53.72,-1,2015
2015-01-02 08:15:00,25.8,25.8,-1,2015
2015-01-02 08:30:00,29.8,29.8,-1,2015
2015-01-02 08:45:00,41.13,29.8,2,2015
2015-01-02 09:00:00,72.09,72.09,1,2015
2015-01-02 09:15:00,72.09,37.41,2,2015
2015-01-02 09:30:00,36.3,36.3,-1,2015
2015-01-02 09:45:00,31.93,31.93,-1,2015
2015-01-02 10:00:00,-0.78,-0.78,-1,2015
2015-01-02 10:15:00,-38.8,-38.8,-1,2015
2015-01-02 10:30:00,30.78,30.78,-1,2015
2015-01-02 10:45:00,2.78,2.78,-1,2015
2015-01-02 11:00:00,36.3,36.3,-1,2015
2015-01-02 11:15:00,-38.8,-38.8,-1,2015
2015-01-02 11:30:00,-50.14,-50.14,-1,2015
2015-01-02 11:45:00,12.78,12.78,-1,2015
2015-01-02 12:00:00,45.12,34.99,2,2015
2015-01-02 12:15:00,50.87,34.99,2,2015
2015-01-02 12:30:00,50.87,36.3,2,2015
2015-01-02 12:45:00,36.3,36.3,-1,2015
2015-01-02 13:00:00,31.86,31.86,-1,2015
2015-01-02 13:15:00,28.19,28.19,-1,2015
2015-01-02 13:30:00,9.49,9.49,-1,2015
2015-01-02 13:45:00,-38.8,-38.8,-1,2015
2015-01-02 14:00:00,-53.72,-53.72,-1,2015
2015-01-02 14:15:00,40.28,37.73,2,2015
2015-01-02 14:30:00,10.69,10.69,-1,2015
2015-01-02 14:45:00,36.25,36.25,-1,2015
2015-01-02 15:00:00,-53.72,-53.72,-1,2015
2015-01-02 15:15:00,-53.72,-53.72,-1,2015
2015-01-02 15:30:00,20.78,20.78,-1,2015
2015-01-02 15:45:00,32.78,32.78,-1,2015
2015-01-02 16:00:00,53.33,37.3,2,2015
2015-01-02 16:15:00,45.24,36.3,2,2015
2015-01-02 16:30:00,200.0,200.0,1,2015
2015-01-02 16:45:00,192.3,39.73,2,2015
2015-01-02 17:00:00,192.3,31.86,2,2015
2015-01-02 17:15:00,53.79,36.3,2,2015
2015-01-02 17:30:00,53.79,-38.8,2,2015
2015-01-02 17:45:00,49.1,30.8,2,2015
2015-01-02 18:00:00,53.9,7.78,2,2015
2015-01-02 18:15:00,4.78,4.78,-1,2015
2015-01-02 18:30:00,-38.8,-38.8,-1,2015
2015-01-02 18:45:00,51.79,-38.8,2,2015
2015-01-02 19:00:00,39.33,39.33,-1,2015
2015-01-02 19:15:00,39.33,39.33,-1,2015
2015-01-02 19:30:00,11.78,11.78,-1,2015
2015-01-02 19:45:00,31.79,31.79,-1,2015
2015-01-02 20:00:00,49.3,-150.78,2,2015
2015-01-02 20:15:00,350.12,-150.78,2,2015
2015-01-02 20:30:00,350.12,-150.78,2,2015
2015-01-02 20:45:00,31.11,31.11,-1,2015
2015-01-02 21:00:00,41.2,31.11,2,2015
2015-01-02 21:15:00,52.2,52.2,1,2015
2015-01-02 21:30:00,41.2,41.2,1,2015
2015-01-02 21:45:00,41.2,25.8,2,2015
2015-01-02 22:00:00,7.09,7.09,-1,2015
2015-01-02 22:15:00,39.94,32.38,2,2015
2015-01-02 22:30:00,10.78,10.78,-1,2015
2015-01-02 22:45:00,18.59,18.59,-1,2015
2015-01-02 23:00:00,-5.49,-5.49,-1,2015
2015-01-02 23:15:00,37.84,36.2,2,2015
2015-01-02 23:30:00,30.88,30.88,-1,2015
2015-01-02 23:45:00,25.8,25.8,-1,2015
2015-01-03 00:00:00,48.2,31.39,2,2015
2015-01-03 00:15:00,84.02,31.39,2,2015
2015-01-03 00:30:00,32.8,32.8,1,2015
2015-01-03 00:45:00,32.8,32.8,1,2015
2015-01-03 01:00:00,38.71,38.71,1,2015
2015-01-03 01:15:00,39.69,39.69,1,2015
2015-01-03 01:30:00,38.52,38.52,1,2015
2015-01-03 01:45:00,0.0,0.0,0,2015
2015-01-03 02:00:00,0.0,0.0,0,2015
2015-01-03 02:15:00,0.0,0.0,0,2015
2015-01-03 02:30:00,32.03,32.03,-1,2015
2015-01-03 02:45:00,25.8,25.8,-1,2015
2015-01-03 03:00:00,-57.61,-57.61,-1,2015
2015-01-03 03:15:00,-57.61,-57.61,-1,2015
2015-01-03 03:30:00,30.57,30.57,-1,2015
2015-01-03 03:45:00,0.0,0.0,0,2015
2015-01-03 04:00:00,0.0,0.0,0,2015
2015-01-03 04:15:00,0.0,0.0,0,2015
2015-01-03 04:30:00,36.2,36.2,-1,2015
2015-01-03 04:45:00,0.0,0.0,0,2015
2015-01-03 05:00:00,48.2,48.2,1,2015
2015-01-03 05:15:00,39.1,39.1,1,2015
2015-01-03 05:30:00,39.69,39.69,1,2015
2015-01-03 05:45:00,37.84,37.84,1,2015
2015-01-03 06:00:00,34.29,34.29,1,2015
2015-01-03 06:15:00,0.0,0.0,0,2015
