time,count
00:00,81
00:15,84
00:30,108
00:45,131
01:00,80
01:15,83
01:30,94
01:45,137
02:00,74
02:15,87
02:30,99
02:45,132
03:00,77
03:15,78
03:30,97
03:45,124
04:00,91
04:15,87
04:30,90
04:45,101
05:00,117
05:15,108
05:30,74
05:45,110
06:00,94
06:15,69
06:30,54
06:45,60
07:00,64
07:15,61
07:30,61
07:45,69
08:00,65
08:15,103
08:30,129
08:45,139
09:00,83
09:15,109
09:30,151
09:45,172
10:00,99
10:15,135
10:30,168
10:45,196
11:00,122
11:15,143
11:30,160
11:45,153
14:00,150
14:15,135
14:30,124
14:45,122
15:00,152
15:15,126
15:30,98
15:45,97
16:00,145
16:15,89
16:30,70
16:45,67
19:00,81
19:15,75
19:30,65
19:45,69
20:00,56
20:15,57
20:30,71
20:45,83
21:00,52
21:15,46
21:30,74
21:45,100
22:00,66
22:15,50
22:30,66
22:45,111
23:00,102
23:15,82
23:30,105
23:45,160
