time,count
00:00,77
00:15,90
00:30,106
00:45,132
01:00,84
01:15,89
01:30,97
01:45,137
02:00,78
02:15,86
02:30,95
02:45,129
03:00,76
03:15,73
03:30,94
03:45,127
04:00,91
04:15,89
04:30,93
04:45,103
05:00,114
05:15,108
05:30,74
05:45,108
06:00,95
06:15,69
06:30,53
06:45,58
07:00,64
07:15,60
07:30,60
07:45,66
08:00,72
08:15,102
08:30,121
08:45,129
09:00,84
09:15,102
09:30,141
09:45,162
10:00,92
10:15,121
10:30,159
10:45,192
11:00,112
11:15,135
11:30,150
11:45,138
12:00,106
12:15,118
12:30,135
12:45,150
13:00,116
13:15,125
13:30,118
13:45,147
14:00,146
14:15,128
14:30,117
14:45,119
15:00,143
15:15,122
15:30,86
15:45,99
16:00,145
16:15,85
16:30,62
16:45,67
17:00,106
17:15,58
17:30,47
17:45,54
18:00,88
18:15,77
18:30,72
18:45,72
19:00,87
19:15,79
19:30,69
19:45,72
20:00,59
20:15,55
20:30,77
20:45,91
21:00,53
21:15,48
21:30,74
21:45,100
22:00,72
22:15,48
22:30,72
22:45,110
23:00,98
23:15,83
23:30,108
23:45,157
