time,count
00:00,77
00:15,87
00:30,109
00:45,132
01:00,83
01:15,88
01:30,98
01:45,136
02:00,78
02:15,88
02:30,96
02:45,132
03:00,75
03:15,73
03:30,95
03:45,127
04:00,91
04:15,88
04:30,92
04:45,101
05:00,116
05:15,108
05:30,75
05:45,108
06:00,94
06:15,71
06:30,55
06:45,58
07:00,63
07:15,57
07:30,57
07:45,64
08:00,67
08:15,101
08:30,117
08:45,126
09:00,83
09:15,103
09:30,141
09:45,162
10:00,93
10:15,123
10:30,162
10:45,190
11:00,111
11:15,137
11:30,150
11:45,142
12:00,106
12:15,117
12:30,134
12:45,149
13:00,115
13:15,124
13:30,118
13:45,148
14:00,145
14:15,130
14:30,119
14:45,116
15:00,143
15:15,120
15:30,82
15:45,95
16:00,142
16:15,86
16:30,60
16:45,64
17:00,102
17:15,56
17:30,48
17:45,52
18:00,79
18:15,76
18:30,66
18:45,62
19:00,79
19:15,74
19:30,65
19:45,70
20:00,56
20:15,61
20:30,75
20:45,90
21:00,57
21:15,50
21:30,74
21:45,100
22:00,73
22:15,49
22:30,71
22:45,109
23:00,99
23:15,83
23:30,108
23:45,157
