time,count
00:00,81
00:15,85
00:30,108
00:45,131
01:00,80
01:15,83
01:30,95
01:45,137
02:00,74
02:15,87
02:30,100
02:45,133
03:00,77
03:15,78
03:30,98
03:45,124
04:00,91
04:15,88
04:30,90
04:45,101
05:00,117
05:15,109
05:30,74
05:45,111
06:00,94
06:15,69
06:30,56
06:45,61
07:00,64
07:15,61
07:30,61
07:45,69
08:00,64
08:15,100
08:30,126
08:45,137
09:00,83
09:15,109
09:30,150
09:45,170
10:00,99
10:15,134
10:30,168
10:45,195
11:00,121
11:15,141
11:30,158
11:45,152
14:00,149
14:15,134
14:30,122
14:45,122
15:00,151
15:15,125
15:30,96
15:45,96
16:00,142
16:15,89
16:30,69
16:45,67
19:00,81
19:15,74
19:30,66
19:45,69
20:00,56
20:15,58
20:30,74
20:45,83
21:00,52
21:15,46
21:30,74
21:45,100
22:00,67
22:15,52
22:30,66
22:45,111
23:00,102
23:15,84
23:30,107
23:45,160
