time,count
00:00,78
00:15,87
00:30,108
00:45,131
01:00,84
01:15,87
01:30,97
01:45,136
02:00,77
02:15,87
02:30,97
02:45,130
03:00,78
03:15,73
03:30,95
03:45,126
04:00,91
04:15,88
04:30,92
04:45,101
05:00,114
05:15,106
05:30,73
05:45,107
06:00,94
06:15,69
06:30,52
06:45,56
07:00,61
07:15,59
07:30,55
07:45,63
08:00,66
08:15,98
08:30,118
08:45,127
09:00,81
09:15,102
09:30,141
09:45,161
10:00,93
10:15,121
10:30,162
10:45,191
11:00,112
11:15,133
11:30,153
11:45,139
12:00,104
12:15,120
12:30,134
12:45,153
13:00,115
13:15,125
13:30,120
13:45,146
14:00,144
14:15,129
14:30,119
14:45,117
15:00,143
15:15,120
15:30,84
15:45,99
16:00,139
16:15,82
16:30,60
16:45,65
17:00,94
17:15,56
17:30,48
17:45,47
18:00,76
18:15,74
18:30,67
18:45,60
19:00,78
19:15,71
19:30,67
19:45,69
20:00,56
20:15,55
20:30,79
20:45,90
21:00,55
21:15,49
21:30,75
21:45,103
22:00,73
22:15,47
22:30,69
22:45,112
23:00,99
23:15,86
23:30,109
23:45,160
