time,count
00:00,133
00:15,138
00:30,170
00:45,185
01:00,192
01:15,195
01:30,215
01:45,237
02:00,216
02:15,218
02:30,232
02:45,253
03:00,161
03:15,165
03:30,186
03:45,219
04:00,70
04:15,71
04:30,93
04:45,134
05:00,29
05:15,29
05:30,39
05:45,82
06:00,6
06:15,6
06:30,9
06:45,28
07:00,8
07:15,9
07:30,7
07:45,16
08:00,64
08:15,63
08:30,126
08:45,116
09:00,180
09:15,180
09:30,192
09:45,206
10:00,238
10:15,241
10:30,247
10:45,259
11:00,280
11:15,283
11:30,284
11:45,302
14:00,162
14:15,160
14:30,192
14:45,212
15:00,25
15:15,28
15:30,34
15:45,122
16:00,1
16:15,3
16:30,2
16:45,40
19:15,1
19:45,1
20:00,4
20:30,2
21:00,10
21:15,8
21:30,10
21:45,13
22:00,27
22:15,28
22:30,38
22:45,42
23:00,51
23:15,54
23:30,78
23:45,91
