time,count
00:00,77
00:15,85
00:30,107
00:45,132
01:00,83
01:15,88
01:30,98
01:45,135
02:00,78
02:15,87
02:30,97
02:45,132
03:00,75
03:15,73
03:30,94
03:45,127
04:00,91
04:15,86
04:30,91
04:45,101
05:00,115
05:15,107
05:30,75
05:45,108
06:00,94
06:15,71
06:30,54
06:45,57
07:00,63
07:15,59
07:30,56
07:45,64
08:00,67
08:15,102
08:30,117
08:45,126
09:00,83
09:15,103
09:30,141
09:45,162
10:00,93
10:15,123
10:30,162
10:45,190
11:00,112
11:15,137
11:30,151
11:45,142
12:00,106
12:15,117
12:30,134
12:45,150
13:00,115
13:15,125
13:30,118
13:45,148
14:00,144
14:15,129
14:30,119
14:45,118
15:00,143
15:15,120
15:30,84
15:45,97
16:00,141
16:15,85
16:30,61
16:45,65
17:00,101
17:15,56
17:30,44
17:45,52
18:00,78
18:15,76
18:30,66
18:45,62
19:00,79
19:15,73
19:30,64
19:45,69
20:00,55
20:15,55
20:30,75
20:45,90
21:00,53
21:15,46
21:30,72
21:45,100
22:00,71
22:15,48
22:30,70
22:45,109
23:00,99
23:15,82
23:30,106
23:45,157
