time,count
00:00,156
00:15,157
00:30,193
00:45,206
01:00,215
01:15,218
01:30,239
01:45,250
02:00,237
02:15,240
02:30,260
02:45,270
03:00,171
03:15,172
03:30,194
03:45,217
04:00,72
04:15,73
04:30,92
04:45,128
05:00,30
05:15,30
05:30,39
05:45,80
06:00,7
06:15,7
06:30,12
06:45,33
07:00,8
07:15,8
07:30,2
07:45,14
08:00,27
08:15,27
08:30,7
08:45,9
09:00,68
09:15,68
09:30,132
09:45,121
10:00,202
10:15,204
10:30,238
10:45,246
11:00,285
11:15,286
11:30,294
11:45,304
12:00,287
12:15,287
12:30,290
12:45,315
13:00,229
13:15,230
13:30,255
13:45,297
14:00,86
14:15,88
14:30,122
14:45,240
15:00,19
15:15,20
15:30,28
15:45,155
16:00,2
16:15,2
16:30,2
16:45,64
17:00,1
17:15,1
17:30,1
17:45,8
18:45,1
21:00,9
21:15,9
21:30,15
21:45,17
22:00,34
22:15,35
22:30,49
22:45,51
23:00,69
23:15,69
23:30,110
23:45,112
