time,new,already
11:00,1,0
11:30,1,0
12:00,1,0
12:15,1,0
12:30,1,0
12:45,1,0
13:00,1,0
13:15,1,0
13:30,1,0
13:45,1,0
14:45,0,1
15:00,0,1
15:15,0,1
15:30,0,1
15:45,0,1
16:00,0,1
16:15,0,1
16:30,0,2
16:45,0,2
17:00,0,2
17:15,0,1
17:30,0,1
17:45,0,1
18:00,0,1
18:15,0,1
18:30,0,1
18:45,0,1
19:00,0,1
